,date,time,away_team,away_score,home_team,home_score,venue,season,type,elo_after_home,elo_after_away,elo_before_home,elo_before_away,expected_win_home,expected_win_away
78,2024-05-15,Final OT2,toronto,0.0,minnesota,1.0,Xcel Energy Center,2024.0,playoffs,1305.0,1331.0,1303.0,1333.0,0.5287505638922685,0.4712494361077315
79,2024-05-17,Final,minnesota,4.0,toronto,1.0,Coca-Cola Coliseum,2024.0,playoffs,1325.0,1311.0,1331.0,1305.0,0.6076610641268197,0.39233893587318025
80,2024-05-19,Final,minnesota,3.0,boston,4.0,Tsongas Center,2024.0,playoffs,1300.0,1309.0,1298.0,1311.0,0.5530468951694627,0.4469531048305373
81,2024-05-21,Final,minnesota,3.0,boston,0.0,Tsongas Center,2024.0,playoffs,1295.0,1314.0,1300.0,1309.0,0.558731369324761,0.441268630675239
82,2024-05-24,Final,boston,1.0,minnesota,4.0,Xcel Energy Center,2024.0,playoffs,1318.0,1291.0,1314.0,1295.0,0.5980137657693437,0.40198623423065627
83,2024-05-26,Final OT2,boston,1.0,minnesota,0.0,Xcel Energy Center,2024.0,playoffs,1315.0,1294.0,1318.0,1291.0,0.6090326034042394,0.39096739659576063
84,2024-05-29,Final,minnesota,3.0,boston,0.0,Tsongas Center,2024.0,playoffs,1289.0,1320.0,1294.0,1315.0,0.5416377027147633,0.4583622972852367
86,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,
